location,date,new_cases,roll_cases
India,2020-02-05,0,0.42857142857142855
India,2020-02-06,0,0.2857142857142857
India,2020-02-07,0,0.2857142857142857
India,2020-02-08,0,0.2857142857142857
India,2020-02-09,0,0.14285714285714285
India,2020-02-10,0,0
India,2020-02-11,0,0
India,2020-02-12,0,0
India,2020-02-13,0,0
India,2020-02-14,0,0
India,2020-02-15,0,0
India,2020-02-16,0,0
India,2020-02-17,0,0
India,2020-02-18,0,0
India,2020-02-19,0,0
India,2020-02-20,0,0
India,2020-02-21,0,0
India,2020-02-22,0,0
India,2020-02-23,0,0
India,2020-02-24,0,0
India,2020-02-25,0,0
India,2020-02-26,0,0
India,2020-02-27,0,0
India,2020-02-28,0,0
India,2020-02-29,0,0
India,2020-03-01,0,0
India,2020-03-02,2,0.2857142857142857
India,2020-03-03,0,0.2857142857142857
India,2020-03-04,23,3.5714285714285716
India,2020-03-05,2,3.857142857142857
India,2020-03-06,1,4
India,2020-03-07,3,4.428571428571429
India,2020-03-08,5,5.142857142857143
India,2020-03-09,4,5.428571428571429
India,2020-03-10,13,7.285714285714286
India,2020-03-11,6,4.857142857142857
India,2020-03-12,11,6.142857142857143
India,2020-03-13,9,7.285714285714286
India,2020-03-14,20,9.714285714285714
India,2020-03-15,11,10.571428571428571
India,2020-03-16,6,10.857142857142858
India,2020-03-17,23,12.285714285714286
India,2020-03-18,14,13.428571428571429
India,2020-03-19,38,17.285714285714285
India,2020-03-20,50,23.142857142857142
India,2020-03-21,86,32.57142857142857
India,2020-03-22,66,40.42857142857143
India,2020-03-23,103,54.285714285714285
India,2020-03-24,37,56.285714285714285
India,2020-03-25,121,71.57142857142857
India,2020-03-26,70,76.14285714285714
India,2020-03-27,160,91.85714285714286
India,2020-03-28,100,93.85714285714286
India,2020-03-29,37,89.71428571428571
India,2020-03-30,227,107.42857142857143
India,2020-03-31,146,123
India,2020-04-01,601,191.57142857142858
India,2020-04-02,545,259.42857142857144
India,2020-04-03,24,240
India,2020-04-04,515,299.2857142857143
India,2020-04-05,506,366.2857142857143
India,2020-04-06,1190,503.85714285714283
India,2020-04-07,533,559.1428571428571
India,2020-04-08,605,559.7142857142857
India,2020-04-09,809,597.4285714285714
India,2020-04-10,873,718.7142857142857
India,2020-04-11,848,766.2857142857143
India,2020-04-12,759,802.4285714285714
India,2020-04-13,1248,810.7142857142857
India,2020-04-14,1034,882.2857142857143
India,2020-04-15,835,915.1428571428571
India,2020-04-16,1108,957.8571428571429
India,2020-04-17,922,964.8571428571429
India,2020-04-18,1370,1039.4285714285713
India,2020-04-19,1893,1201.4285714285713
India,2020-04-20,924,1155.142857142857
India,2020-04-21,1541,1227.5714285714287
India,2020-04-22,1290,1292.5714285714287
India,2020-04-23,1707,1378.142857142857
India,2020-04-24,1453,1454
India,2020-04-25,1753,1508.7142857142858
India,2020-04-26,1607,1467.857142857143
India,2020-04-27,1561,1558.857142857143
India,2020-04-28,1873,1606.2857142857142
India,2020-04-29,1738,1670.2857142857142
India,2020-04-30,1801,1683.7142857142858
India,2020-05-01,2394,1818.142857142857
India,2020-05-02,2442,1916.5714285714287
India,2020-05-03,2806,2087.8571428571427
India,2020-05-04,3932,2426.5714285714284
India,2020-05-05,2963,2582.285714285714
India,2020-05-06,3587,2846.4285714285716
India,2020-05-07,3364,3069.714285714286
India,2020-05-08,3344,3205.4285714285716
India,2020-05-09,3113,3301.285714285714
India,2020-05-10,4353,3522.285714285714
India,2020-05-11,3607,3475.8571428571427
India,2020-05-12,3524,3556
India,2020-05-13,3763,3581.1428571428573
India,2020-05-14,3942,3663.714285714286
India,2020-05-15,3787,3727
India,2020-05-16,4864,3977.1428571428573
India,2020-05-17,5050,4076.714285714286
India,2020-05-18,4630,4222.857142857143
India,2020-05-19,6147,4597.571428571428
India,2020-05-20,5553,4853.285714285715
India,2020-05-21,6198,5175.571428571428
India,2020-05-22,6568,5572.857142857143
India,2020-05-23,6629,5825
India,2020-05-24,7113,6119.714285714285
India,2020-05-25,6414,6374.571428571428
India,2020-05-26,5843,6331.142857142857
India,2020-05-27,7293,6579.714285714285
India,2020-05-28,7300,6737.142857142857
India,2020-05-29,8105,6956.714285714285
India,2020-05-30,8336,7200.571428571428
India,2020-05-31,8782,7439
India,2020-06-01,7761,7631.428571428572
India,2020-06-02,8821,8056.857142857143
India,2020-06-03,9633,8391.142857142857
India,2020-06-04,9889,8761
India,2020-06-05,9471,8956.142857142857
